neighbourhood,listing_count,median_price,mean_price,avg_availability,total_reviews_ltm,entire_apt_count,pro_host_count,implied_occupancy,pro_host_pct
Artea,1,90.0,90.0,357.0,7,1,0,2.2,0.0
Artzentales,4,436.0,630.3,261.8,13,3,0,28.3,0.0
Asparrena,10,65.5,1080.6,199.3,24,4,0,45.4,0.0
Asteasu,11,244.0,233.2,111.5,53,5,6,69.5,54.5
Astigarraga,16,94.0,105.4,216.4,132,5,7,40.7,43.8
Ataun,2,218.0,218.0,252.0,42,1,0,31.0,0.0
Atxondo,1,474.0,474.0,327.0,8,1,0,10.4,0.0
Aulesti,6,98.0,93.8,179.7,57,6,0,50.8,0.0
Ayala,8,112.5,192.7,165.1,25,4,0,54.8,0.0
Azkoitia,5,102.0,178.2,199.6,24,5,1,45.3,20.0
Azpeitia,21,93.0,123.8,242.4,62,9,9,33.6,42.9
Bakio,62,107.0,131.2,164.1,610,47,4,55.0,6.5
Balmaseda,7,95.0,147.7,197.3,37,5,0,45.9,0.0
Barakaldo,82,96.0,175.1,198.2,1203,58,17,45.7,20.7
Barrika,20,132.5,232.2,185.6,158,12,0,49.2,0.0
Basauri,26,92.0,103.7,201.2,371,15,4,44.9,15.4
BaÃ±os de Ebro,2,141.0,141.0,220.5,10,2,0,39.6,0.0
Beasain,5,4881.0,4881.0,116.4,10,3,1,68.1,20.0
Belauntza,1,186.0,186.0,141.0,4,1,1,61.4,100.0
Berango,18,97.0,163.3,89.9,156,16,8,75.4,44.4
Berastegi,3,82.0,82.0,178.0,78,2,0,51.2,0.0
Bergara,4,170.0,170.0,34.5,2,4,0,90.5,0.0
Bermeo,182,86.5,105.4,176.0,1992,163,48,51.8,26.4
Bernedo,3,279.0,300.7,254.0,15,3,0,30.4,0.0
Berriatua,16,88.5,101.7,274.7,135,12,9,24.7,56.2
Berriz,2,112.5,112.5,128.0,92,2,0,64.9,0.0
Berrobi,6,84.0,97.3,276.5,8,1,1,24.2,16.7
Bidegoian,1,265.0,265.0,271.0,0,0,0,25.8,0.0
Bilbao,1561,123.0,182.8,178.5,24993,991,516,51.1,33.1
Busturia,28,163.0,190.3,170.4,127,23,1,53.3,3.6
Deba,44,126.0,1986.3,279.7,119,18,24,23.4,54.5
Derio,4,132.0,140.5,279.5,9,4,2,23.4,50.0
Dima,8,294.0,325.8,197.4,59,7,0,45.9,0.0
Donostia-San SebastiÃ¡n,1625,183.0,224.9,181.2,26824,1235,737,50.4,45.4
Durango,17,85.5,84.8,197.8,198,14,4,45.8,23.5
Ea,29,163.0,167.2,217.9,198,23,16,40.3,55.2
Eibar,5,86.0,116.8,145.4,77,4,0,60.2,0.0
Elantxobe,14,102.0,109.4,127.4,186,14,0,65.1,0.0
Elburgo,7,86.0,82.2,91.6,1,0,0,74.9,0.0
Elciego,5,115.0,120.6,216.6,16,4,0,40.7,0.0
Elgeta,3,150.0,140.3,296.3,34,2,0,18.8,0.0
Elgoibar,20,99.0,132.4,257.6,196,9,6,29.4,30.0
Elorrio,9,108.5,101.4,249.1,89,8,0,31.8,0.0
Erandio,21,104.0,206.5,157.5,389,12,1,56.8,4.8
EreÃ±o,2,91.0,91.0,162.0,25,2,0,55.6,0.0
Ermua,4,69.0,96.0,88.5,72,2,0,75.8,0.0
Errenteria,20,107.0,156.6,193.4,227,15,0,47.0,0.0
Errezil,2,118.0,118.0,56.0,17,2,0,84.7,0.0
Eskoriatza,8,125.0,138.4,302.4,5,1,6,17.2,75.0
Eskuernaga,8,245.0,284.0,130.2,3,3,0,64.3,0.0
"Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko Elizatea",6,92.0,202.2,268.0,6,1,0,26.6,0.0
Etxebarria,1,82.0,82.0,270.0,7,1,0,26.0,0.0
Forua,2,95.5,95.5,279.0,2,2,0,23.6,0.0
Fruiz,1,121.0,121.0,335.0,0,0,0,8.2,0.0
Galdakao,12,80.5,80.5,299.6,187,4,0,17.9,0.0
Galdames,4,152.5,156.2,308.5,25,4,0,15.5,0.0
Gamiz-Fika,3,285.0,269.0,344.0,12,3,0,5.8,0.0
Garay,1,213.0,213.0,342.0,7,0,0,6.3,0.0
Gatika,11,195.0,273.0,189.2,118,11,0,48.2,0.0
Gautegiz Arteaga,43,168.5,189.9,190.1,175,28,10,47.9,23.3
Gaztelu,1,627.0,627.0,255.0,3,1,0,30.1,0.0
Gernika-Lumo,34,91.0,104.5,198.1,359,30,1,45.7,2.9
Getaria,54,120.5,297.6,218.3,372,38,27,40.2,50.0
Getxo,148,121.0,223.3,163.9,1623,126,26,55.1,17.6
Gizaburuaga,5,73.0,99.2,249.2,26,3,1,31.7,20.0
Gordexola,3,250.0,200.0,227.3,19,3,0,37.7,0.0
Gorliz,29,111.0,141.7,164.3,350,24,2,55.0,6.9
GÃºeÃ±es,1,40.0,40.0,77.0,12,0,0,78.9,0.0
Harana,1,535.0,535.0,252.0,5,1,0,31.0,0.0
Hernani,23,102.0,235.7,226.5,204,13,13,37.9,56.5
Hernialde,1,96.0,96.0,118.0,20,1,0,67.7,0.0
Hondarribia,136,138.0,183.3,136.0,1100,116,53,62.7,39.0
