id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,host_type,price_tier
16295495,69488238,Vizcaya,Bilbao,43.25975,-2.94559,Private room,62.0,1,197,2025-09-25,1.84,1,41,41,L-BI-66,62.0,Individual (1),Budget (<€75)
16426403,55029942,Vizcaya,Bilbao,43.26551,-2.93457,Private room,60.0,1,336,2025-09-14,3.15,2,140,34,LBI 198,60.0,Pequeño (2-3),Budget (<€75)
16526097,108678187,Vizcaya,Bilbao,43.26517,-2.93568,Private room,30.0,3,108,2023-10-16,1.03,3,144,0,L-BI-79,30.0,Pequeño (2-3),Budget (<€75)
16824871,108678187,Vizcaya,Bilbao,43.26542,-2.93711,Private room,30.0,3,142,2023-10-20,1.35,3,115,0,L-BI-79,30.0,Pequeño (2-3),Budget (<€75)
16920872,108678187,Vizcaya,Bilbao,43.2673,-2.93556,Private room,30.0,2,172,2022-10-31,1.64,3,175,0,,30.0,Pequeño (2-3),Budget (<€75)
17033329,41355039,Vizcaya,Bilbao,43.25475,-2.92146,Entire home/apt,180.0,2,235,2024-06-30,2.3,1,296,0,EBI-306,180.0,Individual (1),Mid-scale (€120-180)
17164195,115453825,Vizcaya,Bilbao,43.26182,-2.94629,Entire home/apt,171.0,4,92,2025-08-15,0.89,1,21,10,744548<br />EBI068,171.0,Individual (1),Mid-scale (€120-180)
17579195,45343327,Vizcaya,Bilbao,43.2568,-2.929,Private room,93.0,2,38,2025-09-07,0.36,1,35,8,ESHFTU00004802700034136000200000000000000000LBI001180,93.0,Individual (1),Economy (€75-120)
17650873,120092583,Vizcaya,Bilbao,43.27384,-2.91801,Entire home/apt,371.0,2,92,2025-08-23,0.89,1,184,9,E-BI-299,371.0,Individual (1),Luxury (>€300)
17726964,53730862,Vizcaya,Bilbao,43.25599,-2.91846,Private room,73.0,2,265,2025-09-14,2.63,1,23,17,ESHFTU00004802600041002100200000000000000000LBI002576,73.0,Individual (1),Budget (<€75)
17793050,121529787,Vizcaya,Bilbao,43.26727,-2.91707,Entire home/apt,137.0,30,31,2022-08-28,0.31,1,23,0,E-BI 311,137.0,Individual (1),Mid-scale (€120-180)
